"","runCount","ValorSeed_1","ValorSeed_2","RegValida"
"1",1,9,18,28944
"2",2,12,21,19381
"3",3,15,24,14013
"4",4,18,27,11678
"5",5,21,30,10359
"6",6,24,33,9582
"7",7,27,36,8253
"8",8,30,39,7351
"9",9,33,42,6327
"10",10,36,45,5972
"11",11,39,48,5327
"12",12,42,51,5005
"13",13,45,54,4481
"14",14,48,57,4327
"15",15,51,60,3904
"16",16,54,63,3302
"17",17,57,66,2761
"18",18,60,69,2450
"19",19,63,72,2336
"20",20,66,75,2321
"21",21,69,78,2281
"22",22,72,81,2218
"23",23,75,84,2180
"24",24,78,87,2129
"25",25,81,90,1963
"26",26,84,93,1895
"27",27,87,96,1793
"28",28,90,99,1779
"29",29,93,102,1760
"30",30,96,105,1753
"31",31,99,108,1729
"32",32,102,111,1589
"33",33,105,114,1441
"34",34,108,117,1252
"35",35,111,120,1160
"36",36,114,123,1141
"37",37,117,126,1141
