"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comtabagis.0","escol4.0","escol4.1","fxet3.1","hiv3.0","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"230",230,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",16,1.35105204872647,0.19047619047619,0.0524590163934426,17,1.13581599123768,0.204819277108434,0.0557377049180328,20,1.59769512833944,0.240963855421687,0.0655737704918033
"231",231,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",22,1.47213690215007,0.207547169811321,0.0721311475409836,20,1.10909090909091,0.2,0.0655737704918033,26,1.69011082693947,0.254901960784314,0.0852459016393443
"232",232,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",15,1.29750425411231,0.182926829268293,0.0491803278688525,17,1.14966740576497,0.207317073170732,0.0557377049180328,20,1.65760869565217,0.25,0.0655737704918033
"233",233,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",16,1.49326805385557,0.210526315789474,0.0524590163934426,17,1.13581599123768,0.204819277108434,0.0557377049180328,15,1.24320652173913,0.1875,0.0491803278688525
"823",823,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,"encerra2=1",11,1.41860465116279,0.2,0.0360655737704918,15,1.2415196743555,0.223880597014925,0.0491803278688525,13,1.32608695652174,0.2,0.0426229508196721
"825",825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,"encerra2=1",14,1.7421460628315,0.245614035087719,0.0459016393442623,16,1.21544209215442,0.219178082191781,0.0524590163934426,15,1.42080745341615,0.214285714285714,0.0491803278688525
"826",826,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",14,1.32403100775194,0.186666666666667,0.0459016393442623,22,1.34065934065934,0.241758241758242,0.0721311475409836,15,1.1431784107946,0.172413793103448,0.0491803278688525
"827",827,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"encerra2=1",12,1.23356926188069,0.173913043478261,0.039344262295082,20,1.38636363636364,0.25,0.0655737704918033,13,1.1341533180778,0.171052631578947,0.0426229508196721
"828",828,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,"encerra2=1",11,1.14740082079343,0.161764705882353,0.0360655737704918,20,1.40391254315305,0.253164556962025,0.0655737704918033,13,1.1341533180778,0.171052631578947,0.0426229508196721
"829",829,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,"encerra2=1",12,1.35105204872647,0.19047619047619,0.039344262295082,17,1.29140722291407,0.232876712328767,0.0557377049180328,12,1.10507246376812,0.166666666666667,0.039344262295082
"830",830,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,"encerra2=1",13,1.2460716530484,0.175675675675676,0.0426229508196721,22,1.35555555555556,0.244444444444444,0.0721311475409836,15,1.1431784107946,0.172413793103448,0.0491803278688525
"967",967,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",11,1.3688290493676,0.192982456140351,0.0360655737704918,18,1.36737235367372,0.246575342465753,0.059016393442623,19,1.72572960095295,0.26027397260274,0.0622950819672131
"968",968,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",10,1.28964059196617,0.181818181818182,0.0327868852459016,18,1.40588988476312,0.253521126760563,0.059016393442623,19,1.79968944099379,0.271428571428571,0.0622950819672131
"973",973,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",14,1.36030582988213,0.191780821917808,0.0459016393442623,15,1.12407862407862,0.202702702702703,0.0491803278688525,21,1.69803817603393,0.25609756097561,0.0688524590163934
"979",979,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,"encerra2=1",22,1.14740082079343,0.161764705882353,0.0721311475409836,30,1.30994989262706,0.236220472440945,0.0983606557377049,28,1.29826695044086,0.195804195804196,0.0918032786885246
"992",992,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",10,1.36404293381038,0.192307692307692,0.0327868852459016,16,1.34435261707989,0.242424242424242,0.0524590163934426,18,1.83612040133779,0.276923076923077,0.059016393442623
"993",993,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"encerra2=1",15,1.54196157735086,0.217391304347826,0.0491803278688525,14,1.10909090909091,0.2,0.0459016393442623,21,1.71900161030596,0.259259259259259,0.0688524590163934
"994",994,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"encerra2=1",14,1.48212426240889,0.208955223880597,0.0459016393442623,14,1.14171122994652,0.205882352941176,0.0459016393442623,21,1.78511705685619,0.269230769230769,0.0688524590163934
