"","runCount","ValorSeed_1","ValorSeed_2","Coincedente1","Coincedente2","RegraComum","RegraNaoComum"
"1",1,8,16,28521,0,28521,0
"2",2,11,19,28521,29143,20252,8891
"3",3,14,22,20252,29609,16219,13390
"4",4,17,25,16219,28732,12564,16168
"5",5,20,28,12564,27083,10121,16962
"6",6,23,31,10121,26568,8350,18218
"7",7,26,34,8350,31639,7838,23801
"8",8,29,37,7838,30928,7295,23633
"9",9,32,40,7295,32381,7036,25345
"10",10,35,43,7036,27266,5659,21607
"11",11,38,46,5659,30849,5274,25575
"12",12,41,49,5274,29738,5012,24726
"13",13,44,52,5012,31826,4719,27107
"14",14,47,55,4719,32069,4669,27400
"15",15,50,58,4669,27153,4119,23034
"16",16,53,61,4119,27960,3560,24400
"17",17,56,64,3560,25873,3247,22626
"18",18,59,67,3247,21582,2536,19046
"19",19,62,70,2536,29179,2456,26723
"20",20,65,73,2456,29958,2409,27549
"21",21,68,76,2409,27651,2335,25316
"22",22,71,79,2335,29904,2182,27722
"23",23,74,82,2182,27956,2050,25906
"24",24,77,85,2050,27063,1888,25175
"25",25,80,88,1888,30370,1819,28551
"26",26,83,91,1819,28481,1798,26683
"27",27,86,94,1798,32018,1792,30226
"28",28,89,97,1792,29099,1747,27352
"29",29,92,100,1747,32753,1743,31010
"30",30,95,103,1743,29185,1650,27535
"31",31,98,106,1650,26616,1617,24999
"32",32,101,109,1617,34645,1588,33057
"33",33,104,112,1588,26771,1579,25192
"34",34,107,115,1579,25623,1450,24173
"35",35,110,118,1450,31430,1346,30084
"36",36,113,121,1346,31556,1340,30216
"37",37,116,124,1340,27780,1170,26610
"38",38,119,127,1170,29610,1154,28456
"39",39,122,130,1154,31452,1150,30302
"40",40,125,133,1150,28024,1044,26980
"41",41,128,136,1044,26879,1019,25860
"42",42,131,139,1019,29183,1018,28165
"43",43,134,142,1018,27553,1011,26542
"44",44,137,145,1011,25640,947,24693
"45",45,140,148,947,29568,941,28627
"46",46,143,151,941,27975,924,27051
"47",47,146,154,924,32918,921,31997
"48",48,149,157,921,26814,917,25897
"49",49,152,160,917,32022,868,31154
"50",50,155,163,868,30113,850,29263
"51",51,158,166,850,29424,848,28576
"52",52,161,169,848,25901,824,25077
"53",53,164,172,824,32191,824,31367
