"","ID","LHSandRHS","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y","count.x.14","lift.x.14","confidence.x.14","support.x.14","count.y.14","lift.y.14","confidence.y.14","support.y.14","count.x.13","lift.x.13","confidence.x.13","support.x.13","count.y.13","lift.y.13","confidence.y.13","support.y.13","count.x.12","lift.x.12","confidence.x.12","support.x.12","count.y.12","lift.y.12","confidence.y.12","support.y.12","count.x.11","lift.x.11","confidence.x.11","support.x.11","count.y.11","lift.y.11","confidence.y.11","support.y.11","count.x.10","lift.x.10","confidence.x.10","support.x.10","count.y.10","lift.y.10","confidence.y.10","support.y.10","count.x.9","lift.x.9","confidence.x.9","support.x.9","count.y.9","lift.y.9","confidence.y.9","support.y.9","count.x.8","lift.x.8","confidence.x.8","support.x.8","count.y.8","lift.y.8","confidence.y.8","support.y.8","count.x.7","lift.x.7","confidence.x.7","support.x.7","count.y.7","lift.y.7","confidence.y.7","support.y.7","count.x.6","lift.x.6","confidence.x.6","support.x.6","count.y.6","lift.y.6","confidence.y.6","support.y.6","count.x.5","lift.x.5","confidence.x.5","support.x.5","count.y.5","lift.y.5","confidence.y.5","support.y.5","count.x.4","lift.x.4","confidence.x.4","support.x.4","count.y.4","lift.y.4","confidence.y.4","support.y.4","count.x.3","lift.x.3","confidence.x.3","support.x.3","count.y.3","lift.y.3","confidence.y.3","support.y.3","count.x.2","lift.x.2","confidence.x.2","support.x.2","count.y.2","lift.y.2","confidence.y.2","support.y.2","count.x.1","lift.x.1","confidence.x.1","support.x.1","count.y.1","lift.y.1","confidence.y.1","support.y.1"
"116",116,"alcool=1,bilateral=1","encerra2=1",26,1.58870967741935,0.25,0.0439932318104907,22,1.52070175438596,0.231578947368421,0.0372250423011844,22,1.50346901017576,0.239130434782609,0.0372250423011844,23,1.66214233308877,0.264367816091954,0.038917089678511,26,1.58870967741935,0.25,0.0439932318104907,22,1.52070175438596,0.231578947368421,0.0372250423011844,22,1.50346901017576,0.239130434782609,0.0372250423011844,23,1.66214233308877,0.264367816091954,0.038917089678511,26,1.58870967741935,0.25,0.0439932318104907,22,1.52070175438596,0.231578947368421,0.0372250423011844,22,1.50346901017576,0.239130434782609,0.0372250423011844,23,1.66214233308877,0.264367816091954,0.038917089678511,26,1.58870967741935,0.25,0.0439932318104907,22,1.52070175438596,0.231578947368421,0.0372250423011844,22,1.50346901017576,0.239130434782609,0.0372250423011844,23,1.66214233308877,0.264367816091954,0.038917089678511,26,1.58870967741935,0.25,0.0439932318104907,22,1.52070175438596,0.231578947368421,0.0372250423011844,22,1.50346901017576,0.239130434782609,0.0372250423011844,23,1.66214233308877,0.264367816091954,0.038917089678511,26,1.58870967741935,0.25,0.0439932318104907,22,1.52070175438596,0.231578947368421,0.0372250423011844,22,1.50346901017576,0.239130434782609,0.0372250423011844,23,1.66214233308877,0.264367816091954,0.038917089678511,26,1.58870967741935,0.25,0.0439932318104907,22,1.52070175438596,0.231578947368421,0.0372250423011844,21,1.36175115207373,0.225806451612903,0.0355329949238579,29,1.6210157949494,0.26605504587156,0.0490693739424704,24,1.47703842549203,0.242424242424242,0.0406091370558376,25,1.5917905623788,0.245098039215686,0.0423011844331641
"117",117,"alcool=1,cavitacao=1","encerra2=1",30,1.48941532258065,0.234375,0.050761421319797,25,1.49242424242424,0.227272727272727,0.0423011844331641,27,1.45090016366612,0.230769230769231,0.0456852791878173,27,1.54323017408124,0.245454545454545,0.0456852791878173,30,1.48941532258065,0.234375,0.050761421319797,25,1.49242424242424,0.227272727272727,0.0423011844331641,27,1.45090016366612,0.230769230769231,0.0456852791878173,27,1.54323017408124,0.245454545454545,0.0456852791878173,30,1.48941532258065,0.234375,0.050761421319797,25,1.49242424242424,0.227272727272727,0.0423011844331641,27,1.45090016366612,0.230769230769231,0.0456852791878173,27,1.54323017408124,0.245454545454545,0.0456852791878173,30,1.48941532258065,0.234375,0.050761421319797,25,1.49242424242424,0.227272727272727,0.0423011844331641,27,1.45090016366612,0.230769230769231,0.0456852791878173,27,1.54323017408124,0.245454545454545,0.0456852791878173,30,1.48941532258065,0.234375,0.050761421319797,25,1.49242424242424,0.227272727272727,0.0423011844331641,27,1.45090016366612,0.230769230769231,0.0456852791878173,27,1.54323017408124,0.245454545454545,0.0456852791878173,30,1.48941532258065,0.234375,0.050761421319797,25,1.49242424242424,0.227272727272727,0.0423011844331641,27,1.45090016366612,0.230769230769231,0.0456852791878173,27,1.54323017408124,0.245454545454545,0.0456852791878173,30,1.48941532258065,0.234375,0.050761421319797,25,1.49242424242424,0.227272727272727,0.0423011844331641,28,1.38407494145199,0.229508196721311,0.0473773265651438,33,1.51174327571506,0.24812030075188,0.0558375634517767,29,1.49737899702953,0.245762711864407,0.0490693739424704,23,1.27669766131305,0.196581196581197,0.038917089678511
"118",118,"alcool=1,cavitacao=1,tipores3=1","encerra2=1",25,1.57297987863302,0.247524752475248,0.0423011844331641,23,1.69700374531835,0.258426966292135,0.038917089678511,24,1.53973078593139,0.244897959183673,0.0406091370558376,25,1.74645390070922,0.277777777777778,0.0423011844331641,25,1.57297987863302,0.247524752475248,0.0423011844331641,23,1.69700374531835,0.258426966292135,0.038917089678511,24,1.53973078593139,0.244897959183673,0.0406091370558376,25,1.74645390070922,0.277777777777778,0.0423011844331641,25,1.57297987863302,0.247524752475248,0.0423011844331641,23,1.69700374531835,0.258426966292135,0.038917089678511,24,1.53973078593139,0.244897959183673,0.0406091370558376,25,1.74645390070922,0.277777777777778,0.0423011844331641,25,1.57297987863302,0.247524752475248,0.0423011844331641,23,1.69700374531835,0.258426966292135,0.038917089678511,24,1.53973078593139,0.244897959183673,0.0406091370558376,25,1.74645390070922,0.277777777777778,0.0423011844331641,25,1.57297987863302,0.247524752475248,0.0423011844331641,23,1.69700374531835,0.258426966292135,0.038917089678511,24,1.53973078593139,0.244897959183673,0.0406091370558376,25,1.74645390070922,0.277777777777778,0.0423011844331641,25,1.57297987863302,0.247524752475248,0.0423011844331641,23,1.69700374531835,0.258426966292135,0.038917089678511,24,1.53973078593139,0.244897959183673,0.0406091370558376,25,1.74645390070922,0.277777777777778,0.0423011844331641,25,1.57297987863302,0.247524752475248,0.0423011844331641,23,1.69700374531835,0.258426966292135,0.038917089678511,23,1.44483418367347,0.239583333333333,0.038917089678511,27,1.52319587628866,0.25,0.0456852791878173,24,1.50749282601764,0.247422680412371,0.0406091370558376,18,1.25700106345268,0.193548387096774,0.0304568527918782
"119",119,"alcool=1,comdiab=0","encerra2=1",34,1.45009742368478,0.228187919463087,0.0575296108291032,30,1.47014925373134,0.223880597014925,0.050761421319797,28,1.33365570599613,0.212121212121212,0.0473773265651438,29,1.44706180344478,0.23015873015873,0.0490693739424704,34,1.45009742368478,0.228187919463087,0.0575296108291032,30,1.47014925373134,0.223880597014925,0.050761421319797,28,1.33365570599613,0.212121212121212,0.0473773265651438,29,1.44706180344478,0.23015873015873,0.0490693739424704,34,1.45009742368478,0.228187919463087,0.0575296108291032,30,1.47014925373134,0.223880597014925,0.050761421319797,28,1.33365570599613,0.212121212121212,0.0473773265651438,29,1.44706180344478,0.23015873015873,0.0490693739424704,34,1.45009742368478,0.228187919463087,0.0575296108291032,30,1.47014925373134,0.223880597014925,0.050761421319797,28,1.33365570599613,0.212121212121212,0.0473773265651438,29,1.44706180344478,0.23015873015873,0.0490693739424704,34,1.45009742368478,0.228187919463087,0.0575296108291032,30,1.47014925373134,0.223880597014925,0.050761421319797,28,1.33365570599613,0.212121212121212,0.0473773265651438,29,1.44706180344478,0.23015873015873,0.0490693739424704,34,1.45009742368478,0.228187919463087,0.0575296108291032,30,1.47014925373134,0.223880597014925,0.050761421319797,28,1.33365570599613,0.212121212121212,0.0473773265651438,29,1.44706180344478,0.23015873015873,0.0490693739424704,34,1.45009742368478,0.228187919463087,0.0575296108291032,30,1.47014925373134,0.223880597014925,0.050761421319797,29,1.29546485260771,0.214814814814815,0.0490693739424704,38,1.49371466577985,0.245161290322581,0.0642978003384095,32,1.36342008506957,0.223776223776224,0.0541455160744501,28,1.25411140583554,0.193103448275862,0.0473773265651438
"121",121,"alcool=1,comdiab=0,bilateral=1","encerra2=1",26,1.68597761685319,0.26530612244898,0.0439932318104907,22,1.64166666666667,0.25,0.0372250423011844,20,1.51499615483209,0.240963855421687,0.0338409475465313,22,1.70764381402679,0.271604938271605,0.0372250423011844,26,1.68597761685319,0.26530612244898,0.0439932318104907,22,1.64166666666667,0.25,0.0372250423011844,20,1.51499615483209,0.240963855421687,0.0338409475465313,22,1.70764381402679,0.271604938271605,0.0372250423011844,26,1.68597761685319,0.26530612244898,0.0439932318104907,22,1.64166666666667,0.25,0.0372250423011844,20,1.51499615483209,0.240963855421687,0.0338409475465313,22,1.70764381402679,0.271604938271605,0.0372250423011844,26,1.68597761685319,0.26530612244898,0.0439932318104907,22,1.64166666666667,0.25,0.0372250423011844,20,1.51499615483209,0.240963855421687,0.0338409475465313,22,1.70764381402679,0.271604938271605,0.0372250423011844,26,1.68597761685319,0.26530612244898,0.0439932318104907,22,1.64166666666667,0.25,0.0372250423011844,20,1.51499615483209,0.240963855421687,0.0338409475465313,22,1.70764381402679,0.271604938271605,0.0372250423011844,26,1.68597761685319,0.26530612244898,0.0439932318104907,22,1.64166666666667,0.25,0.0372250423011844,20,1.51499615483209,0.240963855421687,0.0338409475465313,22,1.70764381402679,0.271604938271605,0.0372250423011844,26,1.68597761685319,0.26530612244898,0.0439932318104907,22,1.64166666666667,0.25,0.0372250423011844,20,1.35519376289842,0.224719101123595,0.0338409475465313,28,1.67252880533657,0.274509803921569,0.0473773265651438,23,1.52319587628866,0.25,0.038917089678511,24,1.60688795740342,0.247422680412371,0.0406091370558376
"122",122,"alcool=1,comdiab=0,cavitacao=1","encerra2=1",29,1.5486581729466,0.243697478991597,0.0490693739424704,24,1.576,0.24,0.0406091370558376,23,1.39044599018003,0.221153846153846,0.038917089678511,24,1.50893617021277,0.24,0.0406091370558376,29,1.5486581729466,0.243697478991597,0.0490693739424704,24,1.576,0.24,0.0406091370558376,23,1.39044599018003,0.221153846153846,0.038917089678511,24,1.50893617021277,0.24,0.0406091370558376,29,1.5486581729466,0.243697478991597,0.0490693739424704,24,1.576,0.24,0.0406091370558376,23,1.39044599018003,0.221153846153846,0.038917089678511,24,1.50893617021277,0.24,0.0406091370558376,29,1.5486581729466,0.243697478991597,0.0490693739424704,24,1.576,0.24,0.0406091370558376,23,1.39044599018003,0.221153846153846,0.038917089678511,24,1.50893617021277,0.24,0.0406091370558376,29,1.5486581729466,0.243697478991597,0.0490693739424704,24,1.576,0.24,0.0406091370558376,23,1.39044599018003,0.221153846153846,0.038917089678511,24,1.50893617021277,0.24,0.0406091370558376,29,1.5486581729466,0.243697478991597,0.0490693739424704,24,1.576,0.24,0.0406091370558376,23,1.39044599018003,0.221153846153846,0.038917089678511,24,1.50893617021277,0.24,0.0406091370558376,29,1.5486581729466,0.243697478991597,0.0490693739424704,24,1.576,0.24,0.0406091370558376,25,1.31100266193434,0.217391304347826,0.0423011844331641,31,1.52319587628866,0.25,0.0524534686971235,26,1.46678121420389,0.240740740740741,0.0439932318104907,22,1.2989010989011,0.2,0.0372250423011844
"133",133,"alcool=1,comdiab=0,pdres5=1","encerra2=1",34,1.47989394608926,0.232876712328767,0.0575296108291032,30,1.4812030075188,0.225563909774436,0.050761421319797,28,1.3438362839045,0.213740458015267,0.0473773265651438,29,1.47040150995196,0.233870967741935,0.0490693739424704,34,1.47989394608926,0.232876712328767,0.0575296108291032,30,1.4812030075188,0.225563909774436,0.050761421319797,28,1.3438362839045,0.213740458015267,0.0473773265651438,29,1.47040150995196,0.233870967741935,0.0490693739424704,34,1.47989394608926,0.232876712328767,0.0575296108291032,30,1.4812030075188,0.225563909774436,0.050761421319797,28,1.3438362839045,0.213740458015267,0.0473773265651438,29,1.47040150995196,0.233870967741935,0.0490693739424704,34,1.47989394608926,0.232876712328767,0.0575296108291032,30,1.4812030075188,0.225563909774436,0.050761421319797,28,1.3438362839045,0.213740458015267,0.0473773265651438,29,1.47040150995196,0.233870967741935,0.0490693739424704,34,1.47989394608926,0.232876712328767,0.0575296108291032,30,1.4812030075188,0.225563909774436,0.050761421319797,28,1.3438362839045,0.213740458015267,0.0473773265651438,29,1.47040150995196,0.233870967741935,0.0490693739424704,34,1.47989394608926,0.232876712328767,0.0575296108291032,30,1.4812030075188,0.225563909774436,0.050761421319797,28,1.3438362839045,0.213740458015267,0.0473773265651438,29,1.47040150995196,0.233870967741935,0.0490693739424704,34,1.47989394608926,0.232876712328767,0.0575296108291032,30,1.4812030075188,0.225563909774436,0.050761421319797,29,1.31494552708301,0.218045112781955,0.0490693739424704,38,1.53328326619786,0.251655629139073,0.0642978003384095,32,1.37302163496443,0.225352112676056,0.0541455160744501,28,1.28968903436989,0.198581560283688,0.0473773265651438
"135",135,"alcool=1,comdiab=0,pdres5=1,bilateral=1","encerra2=1",26,1.72110215053763,0.270833333333333,0.0439932318104907,22,1.66053639846743,0.252873563218391,0.0372250423011844,20,1.5334717176959,0.24390243902439,0.0338409475465313,22,1.72898936170213,0.275,0.0372250423011844,26,1.72110215053763,0.270833333333333,0.0439932318104907,22,1.66053639846743,0.252873563218391,0.0372250423011844,20,1.5334717176959,0.24390243902439,0.0338409475465313,22,1.72898936170213,0.275,0.0372250423011844,26,1.72110215053763,0.270833333333333,0.0439932318104907,22,1.66053639846743,0.252873563218391,0.0372250423011844,20,1.5334717176959,0.24390243902439,0.0338409475465313,22,1.72898936170213,0.275,0.0372250423011844,26,1.72110215053763,0.270833333333333,0.0439932318104907,22,1.66053639846743,0.252873563218391,0.0372250423011844,20,1.5334717176959,0.24390243902439,0.0338409475465313,22,1.72898936170213,0.275,0.0372250423011844,26,1.72110215053763,0.270833333333333,0.0439932318104907,22,1.66053639846743,0.252873563218391,0.0372250423011844,20,1.5334717176959,0.24390243902439,0.0338409475465313,22,1.72898936170213,0.275,0.0372250423011844,26,1.72110215053763,0.270833333333333,0.0439932318104907,22,1.66053639846743,0.252873563218391,0.0372250423011844,20,1.5334717176959,0.24390243902439,0.0338409475465313,22,1.72898936170213,0.275,0.0372250423011844,26,1.72110215053763,0.270833333333333,0.0439932318104907,22,1.66053639846743,0.252873563218391,0.0372250423011844,20,1.38634764250528,0.229885057471264,0.0338409475465313,28,1.72321149640737,0.282828282828283,0.0473773265651438,23,1.52319587628866,0.25,0.038917089678511,24,1.65817161561842,0.25531914893617,0.0406091370558376
"136",136,"alcool=1,comdiab=0,pdres5=1,cavitacao=1","encerra2=1",29,1.58870967741935,0.25,0.0490693739424704,24,1.59191919191919,0.242424242424242,0.0406091370558376,23,1.40394546581285,0.223300970873786,0.038917089678511,24,1.53973078593139,0.244897959183673,0.0406091370558376,29,1.58870967741935,0.25,0.0490693739424704,24,1.59191919191919,0.242424242424242,0.0406091370558376,23,1.40394546581285,0.223300970873786,0.038917089678511,24,1.53973078593139,0.244897959183673,0.0406091370558376,29,1.58870967741935,0.25,0.0490693739424704,24,1.59191919191919,0.242424242424242,0.0406091370558376,23,1.40394546581285,0.223300970873786,0.038917089678511,24,1.53973078593139,0.244897959183673,0.0406091370558376,29,1.58870967741935,0.25,0.0490693739424704,24,1.59191919191919,0.242424242424242,0.0406091370558376,23,1.40394546581285,0.223300970873786,0.038917089678511,24,1.53973078593139,0.244897959183673,0.0406091370558376,29,1.58870967741935,0.25,0.0490693739424704,24,1.59191919191919,0.242424242424242,0.0406091370558376,23,1.40394546581285,0.223300970873786,0.038917089678511,24,1.53973078593139,0.244897959183673,0.0406091370558376,29,1.58870967741935,0.25,0.0490693739424704,24,1.59191919191919,0.242424242424242,0.0406091370558376,23,1.40394546581285,0.223300970873786,0.038917089678511,24,1.53973078593139,0.244897959183673,0.0406091370558376,29,1.58870967741935,0.25,0.0490693739424704,24,1.59191919191919,0.242424242424242,0.0406091370558376,25,1.33420624887123,0.221238938053097,0.0423011844331641,31,1.57396907216495,0.258333333333333,0.0524534686971235,26,1.48048944985066,0.242990654205607,0.0439932318104907,22,1.34791623470869,0.207547169811321,0.0372250423011844
"139",139,"alcool=1,comdiab=0,pdres5=1,tipores3=1","encerra2=1",28,1.50792782941498,0.23728813559322,0.0473773265651438,27,1.58303571428571,0.241071428571429,0.0456852791878173,24,1.35940195514664,0.216216216216216,0.0406091370558376,26,1.5718085106383,0.25,0.0439932318104907,28,1.50792782941498,0.23728813559322,0.0473773265651438,27,1.58303571428571,0.241071428571429,0.0456852791878173,24,1.35940195514664,0.216216216216216,0.0406091370558376,26,1.5718085106383,0.25,0.0439932318104907,28,1.50792782941498,0.23728813559322,0.0473773265651438,27,1.58303571428571,0.241071428571429,0.0456852791878173,24,1.35940195514664,0.216216216216216,0.0406091370558376,26,1.5718085106383,0.25,0.0439932318104907,28,1.50792782941498,0.23728813559322,0.0473773265651438,27,1.58303571428571,0.241071428571429,0.0456852791878173,24,1.35940195514664,0.216216216216216,0.0406091370558376,26,1.5718085106383,0.25,0.0439932318104907,28,1.50792782941498,0.23728813559322,0.0473773265651438,27,1.58303571428571,0.241071428571429,0.0456852791878173,24,1.35940195514664,0.216216216216216,0.0406091370558376,26,1.5718085106383,0.25,0.0439932318104907,28,1.50792782941498,0.23728813559322,0.0473773265651438,27,1.58303571428571,0.241071428571429,0.0456852791878173,24,1.35940195514664,0.216216216216216,0.0406091370558376,26,1.5718085106383,0.25,0.0439932318104907,28,1.50792782941498,0.23728813559322,0.0473773265651438,27,1.58303571428571,0.241071428571429,0.0456852791878173,24,1.32784122823441,0.220183486238532,0.0406091370558376,31,1.51101030927835,0.248,0.0524534686971235,26,1.34247772147475,0.220338983050847,0.0439932318104907,22,1.23171655930277,0.189655172413793,0.0372250423011844
