"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comtabagis.0","escol4.0","escol4.1","fxet3.1","hiv3.0","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"1",1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"encerra2=0",31,1.30305832147937,0.837837837837838,0.0524534686971235,23,1.27418447694038,0.821428571428571,0.038917089678511,32,1.36667148431854,0.864864864864865,0.0541455160744501
"2",2,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",40,1.19635627530364,0.769230769230769,0.0676818950930626,33,1.11280383430332,0.717391304347826,0.0558375634517767,41,1.29577540106952,0.82,0.0693739424703892
"4",4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"encerra2=0",51,1.14954233409611,0.739130434782609,0.0862944162436548,53,1.19148693369851,0.768115942028985,0.089678510998308,53,1.19644766997708,0.757142857142857,0.089678510998308
"5",5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"encerra2=0",33,1.22199248120301,0.785714285714286,0.0558375634517767,26,1.22214268670962,0.787878787878788,0.0439932318104907,33,1.30367647058824,0.825,0.0558375634517767
"11",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",146,1.22079796264856,0.78494623655914,0.247038917089679,144,1.18185226846644,0.761904761904762,0.243654822335025,148,1.18116998865662,0.747474747474748,0.250423011844332
"12",12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",43,1.26181727904667,0.811320754716981,0.0727580372250423,41,1.19997028673303,0.773584905660377,0.0693739424703892,39,1.23256684491979,0.78,0.065989847715736
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",145,1.18691135734072,0.763157894736842,0.245346869712352,144,1.15139215845442,0.742268041237113,0.243654822335025,145,1.1514121409185,0.728643216080402,0.245346869712352
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",140,1.183352402746,0.760869565217391,0.236886632825719,136,1.1785510051467,0.759776536312849,0.230118443316413,142,1.16869986631016,0.739583333333333,0.240270727580372
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",132,1.20761609907121,0.776470588235294,0.223350253807107,132,1.21157340539533,0.781065088757396,0.223350253807107,135,1.17213668684257,0.741758241758242,0.228426395939086
"16",16,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",25,1.29605263157895,0.833333333333333,0.0423011844331641,20,1.29265091863517,0.833333333333333,0.0338409475465313,21,1.18516042780749,0.75,0.0355329949238579
"17",17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,"encerra2=0",39,1.29053751399776,0.829787234042553,0.065989847715736,36,1.32958380202475,0.857142857142857,0.0609137055837563,34,1.34318181818182,0.85,0.0575296108291032
"28",28,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",61,1.15696405648267,0.74390243902439,0.10321489001692,63,1.19176109083925,0.768292682926829,0.106598984771574,61,1.1900376312141,0.753086419753086,0.10321489001692
"29",29,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",33,1.2517971758665,0.804878048780488,0.0558375634517767,31,1.23299010700585,0.794871794871795,0.0524534686971235,34,1.31042128603104,0.829268292682927,0.0575296108291032
"32",32,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"encerra2=0",47,1.17898981324278,0.758064516129032,0.0795262267343486,50,1.250952501905,0.806451612903226,0.0846023688663283,49,1.24887873037778,0.790322580645161,0.0829103214890017
"45",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",148,1.17438238453276,0.755102040816326,0.250423011844332,149,1.17322834645669,0.756345177664975,0.252115059221658,149,1.17140234655599,0.741293532338308,0.252115059221658
"46",46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",139,1.24960450258594,0.803468208092486,0.235194585448393,141,1.22874458108467,0.792134831460674,0.238578680203046,142,1.21292094233271,0.767567567567568,0.240270727580372
"47",47,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",54,1.19977443609023,0.771428571428571,0.0913705583756345,59,1.25369431560781,0.808219178082192,0.0998307952622673,55,1.17448330683625,0.743243243243243,0.0930626057529611
"48",48,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",40,1.32362821948488,0.851063829787234,0.0676818950930626,40,1.32015412966996,0.851063829787234,0.0676818950930626,37,1.29928698752228,0.822222222222222,0.0626057529610829
"49",49,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",138,1.21946770334928,0.784090909090909,0.233502538071066,141,1.2083786488015,0.779005524861878,0.238578680203046,139,1.18729585200173,0.751351351351351,0.235194585448393
"50",50,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",36,1.30208078335373,0.837209302325581,0.0609137055837563,43,1.36124055921581,0.877551020408163,0.0727580372250423,35,1.22905525846702,0.777777777777778,0.0592216582064298
"54",54,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",57,1.182,0.76,0.0964467005076142,63,1.19176109083925,0.768292682926829,0.106598984771574,56,1.19583754877873,0.756756756756757,0.0947546531302876
"55",55,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",34,1.28973042362003,0.829268292682927,0.0575296108291032,38,1.28141047586443,0.826086956521739,0.0642978003384095,35,1.34896308856137,0.853658536585366,0.0592216582064298
"56",56,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",29,1.40945723684211,0.90625,0.0490693739424704,30,1.32958380202475,0.857142857142857,0.050761421319797,30,1.39430638565587,0.882352941176471,0.050761421319797
"59",59,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",106,1.21219040247678,0.779411764705882,0.179357021996616,100,1.17513719875925,0.757575757575758,0.169204737732657,114,1.20902271830025,0.76510067114094,0.192893401015228
"61",61,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",39,1.21310526315789,0.78,0.065989847715736,39,1.14143515079483,0.735849056603774,0.065989847715736,40,1.3168449197861,0.833333333333333,0.0676818950930626
"65",65,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",36,1.19126539753639,0.765957446808511,0.0609137055837563,30,1.13501056270405,0.731707317073171,0.050761421319797,38,1.25100267379679,0.791666666666667,0.0642978003384095
"66",66,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",35,1.32766367137356,0.853658536585366,0.0592216582064298,30,1.29265091863517,0.833333333333333,0.050761421319797,37,1.35971894043029,0.86046511627907,0.0626057529610829
"67",67,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",52,1.15533834586466,0.742857142857143,0.0879864636209814,45,1.16338582677165,0.75,0.0761421319796954,50,1.17926410727113,0.746268656716418,0.0846023688663283
"69",69,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,"encerra2=0",47,1.26029945553539,0.810344827586207,0.0795262267343486,38,1.25414642318646,0.808510638297872,0.0642978003384095,45,1.29290228488089,0.818181818181818,0.0761421319796954
"70",70,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"encerra2=0",63,1.13932068543452,0.732558139534884,0.106598984771574,70,1.18024649092776,0.760869565217391,0.11844331641286,62,1.16634835752483,0.738095238095238,0.104906937394247
"71",71,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"encerra2=0",59,1.24000711237553,0.797297297297297,0.0998307952622673,65,1.21478038136799,0.783132530120482,0.109983079526227,56,1.24636589591022,0.788732394366197,0.0947546531302876
"72",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"encerra2=0",88,1.24421052631579,0.8,0.148900169204738,88,1.21878515185602,0.785714285714286,0.148900169204738,91,1.27256163929771,0.805309734513274,0.153976311336717
