"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comtabagis.0","escol4.0","escol4.1","fxet3.1","hiv3.0","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"3",3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",26,1.58477722772277,0.270833333333333,0.0439932318104907,26,1.60145909327775,0.257425742574257,0.0439932318104907,24,1.63995837669095,0.258064516129032,0.0406091370558376
"6",6,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"encerra2=1",25,1.50811472899867,0.257731958762887,0.0423011844331641,24,1.47826993225638,0.237623762376238,0.0406091370558376,26,1.47523041474654,0.232142857142857,0.0439932318104907
"18",18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",28,1.59069499182928,0.271844660194175,0.0473773265651438,25,1.55526315789474,0.25,0.0423011844331641,28,1.67863664029215,0.264150943396226,0.0473773265651438
"19",19,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",27,1.90349516879399,0.325301204819277,0.0456852791878173,24,1.93902939166097,0.311688311688312,0.0406091370558376,28,1.95533498759305,0.307692307692308,0.0473773265651438
"21",21,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",72,1.31658415841584,0.225,0.121827411167513,69,1.32485380116959,0.212962962962963,0.116751269035533,71,1.3797967840584,0.217125382262997,0.120135363790186
"22",22,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",26,1.8553489495291,0.317073170731707,0.0439932318104907,24,1.86631578947368,0.3,0.0406091370558376,26,1.85646973541138,0.292134831460674,0.0439932318104907
"23",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",50,1.42026338556186,0.242718446601942,0.0846023688663283,48,1.37608537472714,0.221198156682028,0.0812182741116751,42,1.28318858560794,0.201923076923077,0.0710659898477157
"30",30,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",34,1.51870606908019,0.259541984732824,0.0575296108291032,35,1.60100619195046,0.257352941176471,0.0592216582064298,29,1.47432258064516,0.232,0.0490693739424704
"31",31,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",24,1.63297259958554,0.27906976744186,0.0406091370558376,25,1.76734449760766,0.284090909090909,0.0423011844331641,24,1.75305895439377,0.275862068965517,0.0406091370558376
"51",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=1",74,1.30818701205468,0.223564954682779,0.125211505922166,71,1.31456766917293,0.211309523809524,0.120135363790186,69,1.32073455110766,0.207831325301205,0.116751269035533
