"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comtabagis.0","escol4.0","escol4.1","fxet3.1","hiv3.0","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"7",7,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",22,1.38069448869067,0.100456621004566,0.0372250423011844,20,1.32853770934023,0.0921658986175115,0.0338409475465313,28,1.46157922628511,0.126126126126126,0.0473773265651438
"8",8,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",26,1.21135199054001,0.088135593220339,0.0439932318104907,23,1.12767546042807,0.0782312925170068,0.038917089678511,34,1.29605263157895,0.111842105263158,0.0575296108291032
"9",9,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",26,1.24947145877378,0.0909090909090909,0.0439932318104907,23,1.15517973995071,0.0801393728222996,0.038917089678511,34,1.34013605442177,0.115646258503401,0.0575296108291032
"10",10,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",22,1.43304309489695,0.104265402843602,0.0372250423011844,20,1.34716206975154,0.0934579439252336,0.0338409475465313,28,1.50217864923747,0.12962962962963,0.0473773265651438
"33",33,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",25,1.29662132514261,0.0943396226415094,0.0423011844331641,24,1.28130081300813,0.0888888888888889,0.0406091370558376,35,1.51338893766462,0.130597014925373,0.0592216582064298
"34",34,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",21,1.34872853727451,0.0981308411214953,0.0355329949238579,20,1.31640494487137,0.091324200913242,0.0338409475465313,31,1.68655067660867,0.145539906103286,0.0524534686971235
"35",35,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",27,1.14182468694097,0.0830769230769231,0.0456852791878173,26,1.13226733475794,0.0785498489425982,0.0439932318104907,38,1.33037142349387,0.114803625377644,0.0642978003384095
"36",36,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",22,1.55062611806798,0.112820512820513,0.0372250423011844,20,1.4560236511456,0.101010101010101,0.0338409475465313,28,1.59837728194726,0.137931034482759,0.0473773265651438
"37",37,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",22,1.45371198568873,0.105769230769231,0.0372250423011844,20,1.35987114588127,0.0943396226415094,0.0338409475465313,29,1.56306429548564,0.134883720930233,0.0490693739424704
"38",38,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",26,1.35359408033827,0.0984848484848485,0.0439932318104907,23,1.23247801251247,0.0855018587360595,0.038917089678511,34,1.40714285714286,0.121428571428571,0.0575296108291032
"39",39,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=2",21,1.69781121751026,0.123529411764706,0.0355329949238579,18,1.49116904962153,0.103448275862069,0.0304568527918782,28,1.86477349560514,0.160919540229885,0.0473773265651438
"40",40,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",22,1.51186046511628,0.11,0.0372250423011844,20,1.39271827500884,0.0966183574879227,0.0338409475465313,29,1.61566742081448,0.139423076923077,0.0490693739424704
"41",41,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",26,1.40136798905609,0.101960784313725,0.0439932318104907,23,1.26540681437349,0.0877862595419847,0.038917089678511,34,1.45925925925926,0.125925925925926,0.0575296108291032
"42",42,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",21,1.7492600422833,0.127272727272727,0.0355329949238579,18,1.51732991014121,0.105263157894737,0.0304568527918782,28,1.90865051903114,0.164705882352941,0.0473773265651438
"43",43,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",27,1.29300704967183,0.0940766550522648,0.0456852791878173,25,1.20121951219512,0.0833333333333333,0.0423011844331641,34,1.29180327868852,0.111475409836066,0.0575296108291032
"44",44,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",22,1.61696306429549,0.117647058823529,0.0372250423011844,20,1.47842401500938,0.102564102564103,0.0338409475465313,28,1.64705882352941,0.142131979695431,0.0473773265651438
"60",60,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",25,1.34746922024624,0.0980392156862745,0.0423011844331641,24,1.31042128603104,0.0909090909090909,0.0406091370558376,35,1.56597774244833,0.135135135135135,0.0592216582064298
"68",68,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=2",26,1.25385556915545,0.0912280701754386,0.0439932318104907,25,1.23837063112899,0.0859106529209622,0.0423011844331641,36,1.47412180419871,0.127208480565371,0.0609137055837563
