"","runCount","ValorSeed_1","ValorSeed_2","Coincedente1","Coincedente2","RegraComum","RegraNaoComum"
"1",1,8,16,62659,0,62659,0
"2",2,11,19,62659,64923,41549,23374
"3",3,14,22,41549,68807,33571,35236
"4",4,17,25,33571,68925,30529,38396
"5",5,20,28,30529,72408,28522,43886
"6",6,23,31,28522,63561,24975,38586
"7",7,26,34,24975,64233,23215,41018
"8",8,29,37,23215,66344,22243,44101
"9",9,32,40,22243,58848,21160,37688
"10",10,35,43,21160,68791,20399,48392
"11",11,38,46,20399,56456,19332,37124
"12",12,41,49,19332,64713,18190,46523
"13",13,44,52,18190,65211,17783,47428
"14",14,47,55,17783,59186,17462,41724
"15",15,50,58,17462,67945,17082,50863
"16",16,53,61,17082,63429,16894,46535
"17",17,56,64,16894,61356,15920,45436
"18",18,59,67,15920,73864,15563,58301
"19",19,62,70,15563,62510,15250,47260
"20",20,65,73,15250,61415,14948,46467
"21",21,68,76,14948,64364,14737,49627
"22",22,71,79,14737,64831,14531,50300
"23",23,74,82,14531,67500,14363,53137
"24",24,77,85,14363,70709,14192,56517
"25",25,80,88,14192,67262,13856,53406
"26",26,83,91,13856,67496,13733,53763
"27",27,86,94,13733,63827,13581,50246
"28",28,89,97,13581,69722,13541,56181
"29",29,92,100,13541,64915,13455,51460
"30",30,95,103,13455,65695,13409,52286
"31",31,98,106,13409,66518,13292,53226
"32",32,101,109,13292,61654,13190,48464
"33",33,104,112,13190,59782,12160,47622
"34",34,107,115,12160,69347,12130,57217
"35",35,110,118,12130,60535,12048,48487
"36",36,113,121,12048,60451,11974,48477
"37",37,116,124,11974,70307,11914,58393
"38",38,119,127,11914,66307,11751,54556
"39",39,122,130,11751,58067,11468,46599
"40",40,125,133,11468,69237,11428,57809
"41",41,128,136,11428,68320,11280,57040
"42",42,131,139,11280,62649,11177,51472
"43",43,134,142,11177,71120,11147,59973
"44",44,137,145,11147,70062,11020,59042
"45",45,140,148,11020,65496,10853,54643
"46",46,143,151,10853,70146,10824,59322
"47",47,146,154,10824,61221,10798,50423
"48",48,149,157,10798,64973,10637,54336
"49",49,152,160,10637,60737,10632,50105
"50",50,155,163,10632,62589,10588,52001
"51",51,158,166,10588,57549,10385,47164
"52",52,161,169,10385,69708,10365,59343
"53",53,164,172,10365,67213,10345,56868
"54",54,167,175,10345,65380,10326,55054
"55",55,170,178,10326,58679,10144,48535
"56",56,173,181,10144,63048,10113,52935
"57",57,176,184,10113,59086,9975,49111
"58",58,179,187,9975,61735,9962,51773
"59",59,182,190,9962,65527,9930,55597
"60",60,185,193,9930,57616,9870,47746
"61",61,188,196,9870,61712,9811,51901
"62",62,191,199,9811,62993,9711,53282
"63",63,194,202,9711,67015,9664,57351
"64",64,197,205,9664,68613,9594,59019
"65",65,200,208,9594,56801,8958,47843
"66",66,203,211,8958,61115,8938,52177
"67",67,206,214,8938,61259,8873,52386
"68",68,209,217,8873,58909,8782,50127
"69",69,212,220,8782,62715,8744,53971
"70",70,215,223,8744,70607,8717,61890
"71",71,218,226,8717,61747,8659,53088
"72",72,221,229,8659,65975,8639,57336
"73",73,224,232,8639,66142,8597,57545
"74",74,227,235,8597,70763,8580,62183
"75",75,230,238,8580,67281,8572,58709
"76",76,233,241,8572,64966,8560,56406
"77",77,236,244,8560,61864,8535,53329
"78",78,239,247,8535,63332,8468,54864
"79",79,242,250,8468,65460,8462,56998
"80",80,245,253,8462,54185,8367,45818
"81",81,248,256,8367,66420,8321,58099
"82",82,251,259,8321,64772,8235,56537
"83",83,254,262,8235,54581,8147,46434
"84",84,257,265,8147,67409,8141,59268
"85",85,260,268,8141,56827,7824,49003
"86",86,263,271,7824,72906,7824,65082
